Region,Layout,Size,Renovation,Floor,Direction,Year,Price
南山,3室2厅,88.81平米,精装修,低层/48层,西南,1996年建,1200
南山,3室2厅,65.91平米,精装修,中层/24层,东南,2010年建,2250
南山,6室4厅,169.45平米,精装修,高层/18层,南,2011年建,2800
南山,5室2厅,166.02平米,毛坯,中层/56层,东,2013年建,1550
南山,4室2厅,145.81平米,精装修,高层/18层,南北,2005年建,1500
南山,3室2厅,110.86平米,精装修,高层/8层,南,1997年建,620
南山,1室0厅,22.31平米,精装修,高层/28层,北,2002年建,275
南山,10室3厅,598.94平米,毛坯,高层/34层,南北,2016年建,13000
南山,2室1厅,38平米,精装修,高层/7层,南,1986年建,265
南山,6室2厅,256平米,精装修,高层/24层,东南,2012年建,4300
南山,4室2厅,115.58平米,普通装修,高层/14层,西,2002年建,860
南山,3室2厅,104.2平米,精装修,中层/7层,南,1999年建,700
南山,2室2厅,84.63平米,精装修,低层/11层,南,2001年建,680
南山,3室2厅,116.89平米,精装修,中层/33层,南,1997年建,850
南山,2室2厅,82.94平米,精装修,中层/31层,西,2007年建,810
南山,2室1厅,49.32平米,精装修,中层/8层,南,1995年建,295
南山,1室1厅,41.74平米,精装修,高层/30层,东南,2004年建,310
南山,2室1厅,50.65平米,精装修,高层/7层,南,2011年建,420
南山,1室0厅,28.58平米,精装修,中层/7层,东南,1999年建,210
南山,3室2厅,138.75平米,精装修,中层/28层,东北,2004年建,1100
南山,3室2厅,79平米,普通装修,低层/34层,北,2008年建,550
南山,3室2厅,100.16平米,精装修,中层/9层,南,2003年建,730
南山,1室1厅,37.22平米,精装修,高层/31层,北,2011年建,300
南山,3室2厅,129.3平米,精装修,中层/27层,东南,2007年建,1350
南山,2室2厅,68.33平米,精装修,低层/18层,东南,2004年建,560
南山,3室2厅,89平米,精装修,中层/16层,南,2009年建,780
南山,4室2厅,165.42平米,普通装修,中层/32层,南,2012年建,2300
南山,3室2厅,87.44平米,精装修,高层/28层,北,1993年建,498
南山,4室3厅,171.65平米,普通装修,中层/22层,南,2007年建,1900
南山,4室2厅,194.55平米,精装修,高层/44层,南,2016年建,1800
南山,4室2厅,188.6平米,精装修,中层/16层,南,2015年建,2350
南山,3室2厅,91.93平米,普通装修,中层/7层,南,1997年建,650
南山,4室2厅,89.82平米,精装修,中层/28层,南,2014年建,850
南山,4室2厅,100.78平米,普通装修,中层/8层,南,1994年建,670
南山,2室2厅,58.88平米,普通装修,低层/34层,西,2009年建,420
南山,3室1厅,87.88平米,精装修,中层/34层,南北,2012年建,1050
南山,4室2厅,144.96平米,精装修,高层/28层,南,2004年建,1200
南山,3室2厅,102.35平米,精装修,中层/31层,东南,1993年建,550
梅州大厦,1室0厅,40.6平米,精装修,高层/16层,南,1998年建,170
南山,4室1厅,91.03平米,精装修,高层/7层,南,2000年建,500
南山,2室2厅,79.42平米,精装修,低层/7层,南,1996年建,510
南山,3室2厅,90.9平米,精装修,低层/7层,南,1989年建,580
南山,1室1厅,45.14平米,普通装修,低层/16层,南,1998年建,255
南山,1室1厅,36.83平米,精装修,高层/7层,南,1995年建,235
南山,3室2厅,89.15平米,毛坯,中层/53层,东北,2013年建,1160
南山,3室2厅,123.11平米,普通装修,中层/27层,东南,1992年建,860
南山,2室2厅,60.4平米,精装修,高层/34层,西,2009年建,430
南山,5室2厅,208.76平米,精装修,高层/30层,东南,2010年建,3980
南山,6室2厅,206.72平米,精装修,低层/9层,南,2002年建,2100
南山,5室2厅,117.53平米,精装修,高层/26层,南,2000年建,830
南山,5室2厅,152.44平米,精装修,低层/18层,北,2011年建,1550
南山,3室2厅,149.46平米,精装修,中层/33层,南,2004年建,1750
南山,7室3厅,323.44平米,精装修,共3层,南北,1999年建,4800
南山,4室2厅,139.4平米,精装修,低层/32层,南,2003年建,1430
南山,2室2厅,65平米,普通装修,高层/19层,北,2005年建,425
南山,1室0厅,39.02平米,精装修,中层/25层,东,2004年建,200
南山,3室2厅,96.48平米,普通装修,低层/7层,南,1986年建,700
南山,2室2厅,131.41平米,精装修,高层/42层,南北,2016年建,2000
南山,3室1厅,88.29平米,精装修,中层/34层,南,2013年建,600
南山,4室2厅,166.24平米,精装修,高层/15层,南,2006年建,2200
南山,2室2厅,66.27平米,精装修,中层/30层,北,2007年建,740
南山,5室2厅,205.14平米,毛坯,中层/56层,东,2013年建,2100
南山,3室2厅,105.44平米,普通装修,中层/11层,南,1997年建,700
南山,3室2厅,112平米,精装修,中层/11层,南北,1998年建,800
南山,2室2厅,53.75平米,精装修,高层/25层,南,2015年建,330
南山,3室2厅,102.5平米,精装修,低层/9层,南,2003年建,730
南山,5室2厅,146平米,精装修,中层/28层,南,2016年建,1100
南山,1室1厅,41.34平米,精装修,低层/24层,南,2005年建,280
南山,3室2厅,92.88平米,普通装修,低层/20层,东北,1997年建,530
南山,5室3厅,374.65平米,毛坯,共1层,东南,2014年建,9000
深圳湾壹号 (鹏瑞深圳湾壹号广场),4室2厅,303.63平米,精装修,高层/34层,东南,2014年建,6700
南山,5室2厅,184.08平米,精装修,低层/49层,南,2016年建,2100
南山,5室3厅,172.93平米,精装修,高层/7层,南,1998年建,1500
南山,3室2厅,177.86平米,精装修,高层/17层,西南,2000年建,1250
南山,3室2厅,139平米,精装修,低层/25层,东南,2010年建,2200
南山,2室2厅,80平米,精装修,高层/32层,东,2006年建,650
南山,3室2厅,117.51平米,精装修,低层/32层,东南,2003年建,880
南山,2室2厅,93.19平米,普通装修,中层/32层,南,1992年建,700
南山,2室2厅,70.43平米,精装修,高层/18层,西南,2004年建,538
南山,1室1厅,36.9平米,普通装修,中层/8层,南,1993年建,238
南山,2室1厅,55平米,普通装修,低层/8层,东南,1988年建,410
南山,5室2厅,192.33平米,精装修,中层/17层,南北,2010年建,1480
南山,3室2厅,128.82平米,普通装修,中层/18层,北,2011年建,1200
南山,3室2厅,74.21平米,精装修,中层/9层,南,2003年建,435
南山,4室2厅,210.9平米,毛坯,高层/11层,南北,2015年建,2650
南山,3室2厅,88.79平米,精装修,低层/31层,南,2013年建,800
南山,1室1厅,38.01平米,精装修,中层/20层,西,2003年建,310
南山,1室1厅,36.8平米,精装修,低层/32层,北,2006年建,298
南山,5室2厅,255.56平米,精装修,高层/33层,西南,1997年建,1650
南山,4室2厅,140.2平米,精装修,高层/24层,东南,2010年建,2000
南山,1室1厅,42.86平米,精装修,中层/7层,南,2000年建,280
南山,3室2厅,88.46平米,普通装修,高层/18层,东,2005年建,699
南山,3室2厅,88.42平米,精装修,高层/20层,南,2015年建,850
南山,2室2厅,75.19平米,普通装修,低层/18层,东南,2011年建,780
南山,5室2厅,187.24平米,精装修,低层/46层,西北,2016年建,1860
南山,2室2厅,68.12平米,精装修,低层/31层,东南,2012年建,700
南山,2室2厅,80.23平米,精装修,高层/18层,南,2005年建,550
南山,3室2厅,80.17平米,普通装修,中层/18层,东,2003年建,530
南山,5室2厅,177.28平米,精装修,低层/9层,东北,2002年建,1700
南山,3室2厅,87.85平米,精装修,低层/29层,西,2012年建,690
南山,1室2厅,55.85平米,精装修,中层/28层,西北,2005年建,550
南山,2室2厅,89.79平米,精装修,低层/34层,西,2008年建,591
南山,3室2厅,144.26平米,精装修,低层/23层,北,2002年建,760
南山,2室2厅,85.19平米,精装修,中层/33层,西南,2004年建,1150
南山,2室1厅,87.82平米,精装修,低层/31层,北,2015年建,1300
南山,3室2厅,89平米,精装修,高层/28层,南,2014年建,800
南山,3室2厅,93平米,精装修,中层/20层,南,1997年建,530
南山,3室2厅,85.67平米,精装修,高层/7层,南,1991年建,460
南山,2室2厅,86.09平米,精装修,中层/27层,南,2012年建,950
南山,1室0厅,29.05平米,精装修,中层/8层,西,1988年建,180
南山,5室2厅,110.3平米,精装修,低层/32层,东,2014年建,1020
南山,3室2厅,98.23平米,普通装修,中层/11层,南北,2004年建,615
南山,4室2厅,190.8平米,精装修,高层/24层,南,2007年建,2280
南山,2室2厅,74.22平米,精装修,中层/32层,北,2006年建,485
南山,4室2厅,90.03平米,精装修,低层/34层,西南,2007年建,730
南山,3室2厅,89.15平米,精装修,中层/53层,东南,2013年建,1200
南山,2室0厅,37.81平米,普通装修,低层/8层,南,1999年建,230
南山,5室2厅,164.08平米,精装修,低层/25层,南,2006年建,2080
南山,2室2厅,86平米,精装修,高层/32层,南,2015年建,620
南山,3室2厅,93.21平米,精装修,中层/6层,南北,2004年建,760
南山,3室2厅,89.52平米,精装修,高层/28层,南,2014年建,750
南山,2室2厅,87.36平米,普通装修,中层/31层,南,2003年建,600
南山,2室2厅,72.42平米,普通装修,高层/15层,南,2007年建,780
南山,2室2厅,73.82平米,精装修,高层/31层,南,2012年建,790
南山,2室1厅,66.99平米,普通装修,低层/16层,北,2005年建,520
南山,4室2厅,135.18平米,精装修,中层/18层,南,2011年建,1300
南山,1室1厅,35.11平米,精装修,中层/32层,西,2010年建,220
南山,6室3厅,311.43平米,毛坯,高层/29层,东南,2014年建,3700
南山,3室2厅,89.02平米,普通装修,高层/7层,南北,1989年建,580
南山,3室2厅,72.8平米,普通装修,低层/6层,南北,1989年建,550
南山,3室2厅,120.38平米,精装修,低层/33层,西北,1998年建,610
南山,3室2厅,88平米,精装修,中层/25层,北,2013年建,800
南山,2室1厅,42.33平米,普通装修,中层/31层,南,2011年建,318
南山,4室2厅,105.67平米,精装修,高层/15层,南,2005年建,750
南山,5室2厅,151.48平米,精装修,中层/20层,南,2011年建,1480
南山,2室2厅,75.77平米,精装修,低层/18层,南,2005年建,580
水湾1979 (水湾壹玖柒玖广场),2室1厅,108.49平米,精装修,高层/45层,南,2018年建,980
南山,3室2厅,88.17平米,毛坯,高层/33层,西南,2015年建,880
南山,2室1厅,52.1平米,精装修,中层/30层,西北,2004年建,385
南山,4室2厅,171平米,精装修,高层/32层,东南,2005年建,2300
南山,1室1厅,40.87平米,精装修,中层/24层,西南,2010年建,800
南山,6室2厅,212.84平米,精装修,低层/9层,南北,2001年建,1500
南山,3室2厅,85平米,普通装修,高层/7层,南,1996年建,660
南山,5室2厅,248.36平米,精装修,高层/20层,西南,2002年建,2780
南山,3室2厅,75.77平米,精装修,高层/22层,南北,2009年建,580
南山,2室1厅,60.38平米,普通装修,中层/32层,南,2006年建,502
南山,2室2厅,78.69平米,精装修,低层/7层,南北,1989年建,450
南山,2室2厅,72.74平米,精装修,高层/28层,东北,1993年建,440
南山,3室2厅,106.86平米,精装修,中层/18层,南,2011年建,920
南山,3室2厅,93.07平米,精装修,中层/22层,西南,2010年建,1380
南山,3室2厅,85.4平米,精装修,中层/17层,东,2004年建,665
南山,2室2厅,76平米,精装修,中层/7层,南,1990年建,500
南山,5室2厅,152.85平米,精装修,低层/18层,南,2011年建,1400
南山,4室2厅,125.39平米,精装修,中层/19层,南,2000年建,880
南山,2室1厅,72.21平米,普通装修,中层/7层,南北,1999年建,430
南山,3室2厅,98.29平米,普通装修,低层/32层,北,2002年建,560
南山,2室2厅,72平米,普通装修,低层/7层,南北,1990年建,390
南山,3室2厅,136.92平米,精装修,高层/12层,南,2004年建,800
南山,4室2厅,177平米,精装修,低层/26层,南,2017年建,1380
南山,5室2厅,86.81平米,精装修,中层/17层,南,2011年建,840
南山,3室2厅,92.17平米,精装修,低层/16层,西南,2007年建,980
南山,3室2厅,79.03平米,普通装修,中层/6层,南,2004年建,575
南山,1室2厅,71.12平米,精装修,高层/31层,南,2007年建,720
南山,5室2厅,208.92平米,精装修,高层/11层,东南,2002年建,2260
南山,3室2厅,100.17平米,普通装修,高层/24层,南,2003年建,630
南山,2室1厅,49.78平米,普通装修,中层/19层,南,2000年建,480
海王大厦,1室2厅,121.2平米,普通装修,低层/32层,南,1995年建,460
南山,3室2厅,136.91平米,精装修,低层/33层,南,2003年建,1380
南山,2室1厅,37.47平米,精装修,低层/16层,南,1993年建,175
南山,5室2厅,201.32平米,精装修,低层/20层,东北,2007年建,2150
南山,1室1厅,34.05平米,普通装修,低层/7层,南,2010年建,210
南山,5室2厅,279.57平米,毛坯,低层,南,1998年建,3200
南山,2室2厅,73.54平米,精装修,高层/18层,北,2011年建,580
南山,2室2厅,81.55平米,精装修,中层/25层,东北,2001年建,610
南山,3室2厅,87.03平米,精装修,高层/7层,南,1998年建,480
南山,3室1厅,76平米,精装修,低层/6层,南,1984年建,655
南山,2室2厅,117.04平米,精装修,高层/29层,南,2005年建,1880
南山,2室2厅,59.67平米,精装修,高层/6层,南,2005年建,320
南山,4室2厅,140.09平米,精装修,中层/48层,东南,2015年建,1280
南山,3室2厅,92.5平米,精装修,中层/7层,南,1994年建,760
南山,1室1厅,44.85平米,精装修,中层/15层,北,2004年建,360
南山,2室1厅,41.02平米,精装修,中层/31层,东南,2014年建,290
南山,2室1厅,58.5平米,精装修,高层/7层,南,1988年建,460
南山,2室2厅,54.16平米,普通装修,中层/33层,南,2004年建,380
南山,1室0厅,35.11平米,精装修,中层/32层,西,2010年建,240
南山,4室2厅,70.79平米,普通装修,高层/9层,南,2003年建,550
南山,3室1厅,62.04平米,精装修,低层/5层,南北,1981年建,530
南山,5室2厅,159平米,精装修,低层/30层,南北,2015年建,1350
南山,3室2厅,87.37平米,精装修,中层/46层,南,2016年建,1550
南山,5室2厅,160.46平米,普通装修,中层/32层,南,2002年建,1600
南山,4室2厅,134.98平米,普通装修,高层/17层,西,2002年建,898
南山,3室2厅,98.7平米,普通装修,高层/7层,南,1991年建,650
南山,2室2厅,70.2平米,精装修,高层/7层,南,2001年建,720
南山,4室2厅,146.65平米,毛坯,中层/11层,南,2015年建,2050
南山,4室2厅,127.14平米,精装修,低层/16层,东北,2000年建,900
南山,2室2厅,78平米,普通装修,高层/11层,南,2006年建,460
南山,11室2厅,244.17平米,普通装修,低层/3层,南,2009年建,4000
南山,1室1厅,47.59平米,精装修,高层/31层,南,2011年建,385
南山,3室2厅,114.04平米,精装修,中层/18层,西南,2004年建,1100
南山,3室2厅,75.74平米,普通装修,高层/7层,南北,1997年建,430
南山,1室2厅,88.31平米,精装修,中层/27层,东南,2001年建,370
南山,4室2厅,177平米,精装修,中层/32层,南,2010年建,1398
"海岸卡夫诺 (海岸时代公寓,海岸时代大厦)",2室2厅,76.06平米,精装修,中层/31层,南,2007年建,380
南山,3室2厅,115.94平米,普通装修,低层/33层,南,1994年建,780
南山,6室2厅,141.98平米,普通装修,高层/6层,南北,2003年建,1100
南山,3室2厅,89.39平米,精装修,低层/48层,南,1996年建,1080
南山,2室1厅,67.42平米,精装修,低层/17层,南,2002年建,480
南山,2室2厅,76平米,普通装修,中层/7层,东南,1990年建,510
南山,3室2厅,88.31平米,精装修,中层/39层,东南,2015年建,790
南山,3室2厅,119.21平米,普通装修,高层/34层,西北,1995年建,820
南山,3室2厅,99.65平米,普通装修,高层/8层,东南,1987年建,560
南山,3室2厅,94.6平米,精装修,中层/11层,南,2003年建,810
"海岸卡夫诺 (海岸时代公寓,海岸时代大厦)",2室1厅,56.54平米,普通装修,高层/32层,南,2007年建,260
南山,5室2厅,162平米,精装修,低层/31层,南,2007年建,1300
南山,2室1厅,54平米,普通装修,高层/33层,南,2004年建,468
南山,2室2厅,75.87平米,普通装修,高层/8层,南北,1993年建,500
南山,3室2厅,88.46平米,精装修,低层/39层,东南,2013年建,1120
南山,4室2厅,184.41平米,毛坯,中层/28层,南,2017年建,1350
南山,3室2厅,113.87平米,普通装修,低层/11层,东南,2002年建,1088
南山,2室2厅,87.13平米,毛坯,低层/27层,南,2010年建,900
南山,4室2厅,170.85平米,普通装修,低层/16层,北,2002年建,1580
南山,3室2厅,87平米,精装修,高层/18层,东,2004年建,680
南山,2室2厅,93.34平米,精装修,中层/30层,南,2004年建,610
水湾1979 (水湾壹玖柒玖广场),1室0厅,43.29平米,精装修,中层/45层,东,2018年建,399
南山,3室2厅,100平米,精装修,低层/6层,南北,2003年建,780
南山,1室1厅,67.78平米,精装修,中层/31层,南,2010年建,560
南山,1室0厅,29.29平米,精装修,高层/24层,西,2006年建,215
南山,2室2厅,65.08平米,精装修,高层/32层,北,2004年建,435
南山,3室2厅,118.46平米,普通装修,中层/30层,南,2004年建,1580
南山,3室2厅,86.98平米,普通装修,中层/33层,南,2014年建,730
南山,1室0厅,35平米,精装修,中层/32层,北,2000年建,240
南山,2室1厅,41.76平米,精装修,高层/30层,南,2004年建,350
南山,3室2厅,72.79平米,精装修,低层/47层,西北,2016年建,610
南山,5室2厅,259.34平米,毛坯,共1层,南北,1996年建,1550
南山,1室1厅,48.38平米,精装修,中层/31层,西,2003年建,295
南山,3室2厅,112.43平米,普通装修,中层/18层,北,2002年建,700
南山,5室2厅,202.9平米,精装修,高层/9层,南北,2001年建,1580
南山,3室2厅,88平米,普通装修,低层/34层,南,2015年建,670
南山,2室1厅,48.88平米,精装修,低层/33层,东南,2012年建,378
南山,3室3厅,137.81平米,普通装修,低层/7层,南北,1997年建,1060
南山,3室2厅,83平米,普通装修,中层/18层,西南,1999年建,450
南山,5室2厅,172平米,普通装修,高层/32层,南北,2003年建,1850
南山,3室2厅,76平米,精装修,低层/17层,南,2015年建,600
"海岸卡夫诺 (海岸时代公寓,海岸时代大厦)",2室2厅,77.1平米,精装修,低层/32层,东北,2007年建,340
南山,4室2厅,87.4平米,精装修,中层/27层,南,2012年建,750
南山,5室2厅,199.33平米,精装修,低层/20层,南,2002年建,1920
南山,3室2厅,104.56平米,精装修,中层/9层,东南,2003年建,680
南山,3室2厅,111.88平米,精装修,低层/12层,南北,1997年建,760
南山,3室2厅,154.86平米,精装修,低层/48层,西南,1996年建,1500
南山,4室2厅,222.84平米,精装修,中层/6层,东南,2014年建,3600
南山,3室2厅,96.61平米,精装修,高层/29层,南,2003年建,560
南山,3室2厅,105.9平米,精装修,低层/18层,南,2011年建,788
南山,2室2厅,73.42平米,普通装修,中层/6层,南,1988年建,490
南山,4室2厅,108平米,普通装修,中层/16层,南,2005年建,1460
南山,3室2厅,66.65平米,精装修,高层/31层,东,2012年建,645
南山,3室1厅,61.21平米,精装修,中层/31层,南,2004年建,480
南山,1室1厅,43.09平米,精装修,中层/30层,南,2003年建,350
南山,2室2厅,67.79平米,精装修,中层/24层,北,2006年建,505
南山,3室1厅,106平米,普通装修,低层/24层,南,2005年建,700
南山,4室2厅,133.8平米,精装修,低层/44层,北,2015年建,1130
南山,3室2厅,112.38平米,普通装修,低层/31层,南,2012年建,1500
南山,3室2厅,95.27平米,普通装修,中层/20层,北,1997年建,525
南山,2室2厅,64.69平米,精装修,高层/33层,东南,2004年建,495
水湾1979 (水湾壹玖柒玖广场),2室1厅,100.96平米,精装修,高层/45层,南,2018年建,1400
水湾1979 (水湾壹玖柒玖广场),1室1厅,83.63平米,精装修,中层/45层,南,2018年建,620
南山,5室2厅,197平米,毛坯,低层/48层,东南,2016年建,2150
南山,2室1厅,49.32平米,精装修,高层/8层,南,1995年建,290
南山,3室2厅,92.18平米,精装修,高层/32层,东南,2015年建,850
南山,3室2厅,141平米,精装修,中层/18层,南,2002年建,1450
南山,4室2厅,155.24平米,精装修,低层/32层,南,2015年建,1600
南山,2室2厅,66.28平米,精装修,低层/30层,东南,2007年建,600
南山,5室2厅,178.1平米,毛坯,低层/32层,南北,2012年建,2300
南山,2室1厅,68平米,精装修,中层/6层,东南,1987年建,530
南山,3室2厅,69.75平米,普通装修,中层/8层,南北,1989年建,500
南山,2室2厅,89.77平米,精装修,中层/25层,南,2013年建,755
南山,2室2厅,67平米,普通装修,低层/25层,西南,2001年建,600
南山,6室3厅,239.44平米,精装修,低层/10层,南北,2002年建,1730
南山,2室2厅,70.42平米,普通装修,低层/31层,东北,2004年建,500
南山,3室2厅,94.6平米,精装修,高层/8层,南,1993年建,550
南山,4室2厅,87.79平米,精装修,低层/32层,南,2012年建,2200
南山,2室2厅,101.07平米,精装修,高层/32层,东南,1995年建,558
南山,6室7厅,246.36平米,精装修,高层/30层,南北,2004年建,2800
南山,2室2厅,64.36平米,精装修,高层/7层,南,1994年建,430
南山,2室2厅,86平米,精装修,低层/24层,东,1993年建,520
南山,3室1厅,89.01平米,精装修,高层/18层,南北,2009年建,725
南山,3室2厅,94.6平米,普通装修,高层/8层,南北,1993年建,460
南山,5室2厅,185.83平米,普通装修,高层/9层,南北,2002年建,1900
南山,5室2厅,141.32平米,毛坯,高层/32层,南北,2015年建,850
南山,2室1厅,55.26平米,精装修,中层/15层,南,2002年建,400
南山,5室2厅,179.17平米,精装修,高层/27层,南,2014年建,3100
南山,2室2厅,82平米,精装修,高层/30层,西,2013年建,510
南山,4室2厅,143平米,普通装修,低层/23层,南,2008年建,2100
南山,3室2厅,106.69平米,普通装修,中层/20层,南,2011年建,600
南山,3室2厅,121.63平米,精装修,低层/27层,南,2006年建,1490
南山,3室2厅,117.64平米,精装修,高层/29层,东南,2010年建,1900
南山,4室2厅,225.19平米,精装修,高层/30层,南,2009年建,2000
南山,2室2厅,88.42平米,精装修,低层/36层,东南,2016年建,1200
南山,2室2厅,80.44平米,精装修,中层/16层,南,2007年建,650
南山,2室2厅,57.02平米,精装修,低层/12层,南,2011年建,475
南山,4室2厅,133.75平米,精装修,高层/44层,北,2015年建,1150
南山,2室2厅,73.7平米,精装修,低层/18层,南,2004年建,560
南山,2室1厅,57.32平米,精装修,高层/34层,东,2013年建,450
南山,5室2厅,172.57平米,精装修,中层/30层,南北,2010年建,2900
南山,2室1厅,56.56平米,精装修,中层/30层,南,2003年建,465
